"name","version","license","license_file","repository"
"ab_glyph","0.2.32","Apache-2.0",,"https://github.com/alexheretic/ab-glyph"
"ab_glyph_rasterizer","0.1.10","Apache-2.0",,"https://github.com/alexheretic/ab-glyph"
"accesskit","0.21.1","MIT OR Apache-2.0",,"https://github.com/AccessKit/accesskit"
"accesskit_consumer","0.31.0","MIT OR Apache-2.0",,"https://github.com/AccessKit/accesskit"
"accesskit_windows","0.29.2","MIT OR Apache-2.0",,"https://github.com/AccessKit/accesskit"
"accesskit_winit","0.29.2","Apache-2.0",,"https://github.com/AccessKit/accesskit"
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0",,"https://github.com/oyvindln/adler2"
"aes","0.8.4","MIT OR Apache-2.0",,"https://github.com/RustCrypto/block-ciphers"
"ahash","0.8.12","MIT OR Apache-2.0",,"https://github.com/tkaitchuck/ahash"
"anyhow","1.0.102","MIT OR Apache-2.0",,"https://github.com/dtolnay/anyhow"
"arboard","3.6.1","MIT OR Apache-2.0",,"https://github.com/1Password/arboard"
"arrayvec","0.7.6","MIT OR Apache-2.0",,"https://github.com/bluss/arrayvec"
"ash","0.38.0+1.3.281","MIT OR Apache-2.0",,"https://github.com/ash-rs/ash"
"autocfg","1.5.0","Apache-2.0 OR MIT",,"https://github.com/cuviper/autocfg"
"bitflags","2.11.1","MIT OR Apache-2.0",,"https://github.com/bitflags/bitflags"
"bit-set","0.8.0","Apache-2.0 OR MIT",,"https://github.com/contain-rs/bit-set"
"bit-vec","0.8.0","Apache-2.0 OR MIT",,"https://github.com/contain-rs/bit-vec"
"block-buffer","0.10.4","MIT OR Apache-2.0",,"https://github.com/RustCrypto/utils"
"block-padding","0.3.3","MIT OR Apache-2.0",,"https://github.com/RustCrypto/utils"
"bytecount","0.6.9","Apache-2.0/MIT",,"https://github.com/llogiq/bytecount"
"bytemuck","1.25.0","Zlib OR Apache-2.0 OR MIT",,"https://github.com/Lokathor/bytemuck"
"bytemuck_derive","1.10.2","Zlib OR Apache-2.0 OR MIT",,"https://github.com/Lokathor/bytemuck"
"byteorder","1.5.0","Unlicense OR MIT",,"https://github.com/BurntSushi/byteorder"
"byteorder-lite","0.1.0","Unlicense OR MIT",,"https://github.com/image-rs/byteorder-lite"
"bytes","1.11.1","MIT",,"https://github.com/tokio-rs/bytes"
"cbc","0.1.2","MIT OR Apache-2.0",,"https://github.com/RustCrypto/block-modes"
"cfg_aliases","0.2.1","MIT",,"https://github.com/katharostech/cfg_aliases"
"cfg-if","1.0.4","MIT OR Apache-2.0",,"https://github.com/rust-lang/cfg-if"
"chrono","0.4.44","MIT OR Apache-2.0",,"https://github.com/chronotope/chrono"
"cipher","0.4.4","MIT OR Apache-2.0",,"https://github.com/RustCrypto/traits"
"clipboard-win","5.4.1","BSL-1.0",,"https://github.com/DoumanAsh/clipboard-win"
"codespan-reporting","0.12.0","Apache-2.0",,"https://github.com/brendanzab/codespan"
"cpufeatures","0.2.17","MIT OR Apache-2.0",,"https://github.com/RustCrypto/utils"
"crc32fast","1.5.0","MIT OR Apache-2.0",,"https://github.com/srijs/rust-crc32fast"
"crossbeam-channel","0.5.15","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crossbeam-deque","0.8.6","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crossbeam-epoch","0.9.18","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crossbeam-utils","0.8.21","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crypto-common","0.1.7","MIT OR Apache-2.0",,"https://github.com/RustCrypto/traits"
"cursor-icon","1.2.0","MIT OR Apache-2.0 OR Zlib",,"https://github.com/rust-windowing/cursor-icon"
"deranged","0.5.8","MIT OR Apache-2.0",,"https://github.com/jhpratt/deranged"
"digest","0.10.7","MIT OR Apache-2.0",,"https://github.com/RustCrypto/traits"
"displaydoc","0.2.5","MIT OR Apache-2.0",,"https://github.com/yaahc/displaydoc"
"document-features","0.2.12","MIT OR Apache-2.0",,"https://github.com/slint-ui/document-features"
"dpi","0.1.2","Apache-2.0 AND MIT",,"https://github.com/rust-windowing/winit"
"ecb","0.1.2","MIT",,"https://github.com/magic-akari/ecb"
"ecolor","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui"
"eframe","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/eframe"
"egui","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui"
"egui_glow","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/egui_glow"
"egui-wgpu","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/egui-wgpu"
"egui-winit","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/egui-winit"
"either","1.15.0","MIT OR Apache-2.0",,"https://github.com/rayon-rs/either"
"emath","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/emath"
"encoding_rs","0.8.35","(Apache-2.0 OR MIT) AND BSD-3-Clause",,"https://github.com/hsivonen/encoding_rs"
"epaint","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/epaint"
"epaint_default_fonts","0.33.3","(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0",,"https://github.com/emilk/egui/tree/main/crates/epaint_default_fonts"
"equivalent","1.0.2","Apache-2.0 OR MIT",,"https://github.com/indexmap-rs/equivalent"
"error-code","3.3.2","BSL-1.0",,"https://github.com/DoumanAsh/error-code"
"fax","0.2.7","MIT",,"https://github.com/pdf-rs/fax"
"fdeflate","0.3.7","MIT OR Apache-2.0",,"https://github.com/image-rs/fdeflate"
"flate2","1.1.9","MIT OR Apache-2.0",,"https://github.com/rust-lang/flate2-rs"
"foldhash","0.1.5","Zlib",,"https://github.com/orlp/foldhash"
"foldhash","0.2.0","Zlib",,"https://github.com/orlp/foldhash"
"form_urlencoded","1.2.2","MIT OR Apache-2.0",,"https://github.com/servo/rust-url"
"generic-array","0.14.7","MIT",,"https://github.com/fizyk20/generic-array.git"
"getrandom","0.3.4","MIT OR Apache-2.0",,"https://github.com/rust-random/getrandom"
"gl_generator","0.14.0","Apache-2.0",,"https://github.com/brendanzab/gl-rs/"
"glow","0.16.0","MIT OR Apache-2.0 OR Zlib",,"https://github.com/grovesNL/glow"
"glutin","0.32.3","Apache-2.0",,"https://github.com/rust-windowing/glutin"
"glutin_egl_sys","0.7.1","Apache-2.0",,"https://github.com/rust-windowing/glutin"
"glutin_wgl_sys","0.6.1","Apache-2.0",,"https://github.com/rust-windowing/glutin"
"glutin-winit","0.5.0","MIT",,"https://github.com/rust-windowing/glutin"
"gpu-alloc","0.6.0","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-alloc"
"gpu-allocator","0.27.0","MIT OR Apache-2.0",,"https://github.com/Traverse-Research/gpu-allocator"
"gpu-alloc-types","0.3.0","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-alloc"
"gpu-descriptor","0.3.2","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-descriptor"
"gpu-descriptor-types","0.2.0","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-descriptor"
"half","2.7.1","MIT OR Apache-2.0",,"https://github.com/VoidStarKat/half-rs"
"hashbrown","0.15.5","MIT OR Apache-2.0",,"https://github.com/rust-lang/hashbrown"
"hashbrown","0.16.1","MIT OR Apache-2.0",,"https://github.com/rust-lang/hashbrown"
"hashbrown","0.17.0","MIT OR Apache-2.0",,"https://github.com/rust-lang/hashbrown"
"hexf-parse","0.2.1","CC0-1.0",,"https://github.com/lifthrasiir/hexf"
"icu_collections","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"icu_locale_core","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
